交易日期,收盘价,S1上轨(20高),S1下轨(20低),S2上轨(55高),S2下轨(55低),ATR(20),做多开仓,做空开仓,多单加仓,空单加仓,平多仓,平空仓,持仓单位数,净持仓股数,累计收益率,策略净值,回撤幅度
2025-11-10,384.51,409.08,354.76,424.36,272.05,15.114544094934693,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-11-11,385.6,409.08,354.76,424.36,272.05,14.872316890187957,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-11-12,386.38,409.08,354.76,424.36,272.05,14.579201045678557,False,False,False,False,False,False,0,0,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-11-13,415.6,409.08,356.99,424.36,272.05,15.66274099339463,True,False,False,False,False,False,1,668,0.047177838972706665,1047177.8389727066,-0.10668320460406826
2025-11-14,404.12,421.3,356.99,424.36,272.72,15.465603943724899,False,False,False,False,False,False,1,668,0.03950919897270655,1039509.1989727065,-0.11322509716031794
2025-11-17,390.78,421.3,359.53,424.36,272.72,15.773323746538654,False,False,False,False,True,False,0,0,0.02625241700553138,1026252.4170055313,-0.12453407023388598
2025-11-18,385.0,421.3,363.1,424.36,272.72,15.866157559211722,False,False,False,False,False,False,0,0,0.02625241700553138,1026252.4170055313,-0.12453407023388598
2025-11-19,391.1,421.3,368.2,424.36,272.72,15.746849681251136,False,False,False,False,False,False,0,0,0.02625241700553138,1026252.4170055313,-0.12453407023388598
2025-11-20,379.39,421.3,369.0,424.36,272.72,15.85900719718858,False,False,False,False,False,False,0,0,0.02625241700553138,1026252.4170055313,-0.12453407023388598
2025-11-21,370.0,421.3,372.0,424.36,272.72,15.71605683732915,False,True,False,False,False,False,1,-652,0.02625241700553138,1026252.4170055313,-0.12453407023388598
2025-11-24,370.55,421.3,370.0,424.36,277.95,15.31625399546269,False,False,False,False,False,False,1,-652,0.025893817005531394,1025893.8170055313,-0.1248399814085755
2025-11-25,372.36,421.3,367.18,424.36,299.03,15.005941295689555,False,False,False,False,False,False,1,-652,0.0247136970055315,1024713.6970055313,-0.12584670727437192
2025-11-26,372.82,421.3,367.18,424.36,299.03,14.527144230905076,False,False,False,False,False,False,1,-652,0.02441377700553149,1024413.7770055312,-0.12610256025683958
2025-11-27,371.2,421.3,367.18,424.36,299.82,14.244787019359821,False,False,False,False,False,False,1,-652,0.02547001700553153,1025470.0170055312,-0.12520151279684497
2025-11-28,373.2,421.3,367.18,424.36,299.82,13.99854766839183,False,False,False,False,False,False,1,-652,0.02416601700553156,1024166.0170055312,-0.12631391706844325
2025-12-01,382.97,421.3,366.16,424.36,299.82,13.78712028497224,False,False,False,False,False,False,1,-652,0.017795977005531594,1017795.9770055312,-0.1317480119352009
2025-12-02,380.08,421.3,366.16,424.36,309.04,13.47676427072363,False,False,False,False,False,False,1,-652,0.019680257005531665,1019680.2570055312,-0.13014058776274134
2025-12-03,376.08,421.3,366.16,424.36,309.04,13.221426057187447,False,False,False,False,False,False,1,-652,0.02228825700553161,1022288.2570055312,-0.12791577921954478
2025-12-04,383.35,421.3,366.16,424.36,309.04,12.982854754328077,False,False,False,False,False,False,1,-652,0.017548217005531663,1017548.2170055313,-0.13195936874680447
2025-12-05,389.09,421.3,366.16,424.36,309.04,12.699212016611673,False,False,False,False,False,True,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-08,392.5,421.3,366.16,424.36,322.2,12.558251415781088,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-09,387.59,421.3,366.16,424.36,344.02,12.255338844992034,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-10,382.38,421.3,366.16,424.36,348.5,12.179571902742433,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-11,388.99,421.3,366.16,424.36,354.0,12.394593307605312,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-12,391.8,414.6,366.16,424.36,354.76,12.169363642225045,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-15,385.5,398.86,366.16,424.36,354.76,12.048895460113796,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-16,378.41,398.86,366.16,424.36,354.76,11.998950687108106,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-17,383.42,398.86,366.16,424.36,354.76,11.871003152752701,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-18,372.0,398.86,366.16,424.36,354.76,11.947952995115067,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-19,374.0,398.86,366.16,424.36,354.76,11.694555345359312,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
