股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
000858.SZ,2025-10-15,121.34,122.65,121.06,122.07,122.07,0.0,0.0,194595.57,2371853.783
000858.SZ,2025-10-16,121.75,122.75,121.5,122.74,122.07,0.67,0.5489,198478.1,2427170.002
000858.SZ,2025-10-17,122.0,122.96,121.06,121.07,122.74,-1.67,-1.3606,180407.98,2197211.376
000858.SZ,2025-10-20,121.35,121.55,120.1,120.46,121.07,-0.61,-0.5038,131644.96,1589202.775
000858.SZ,2025-10-21,120.78,121.5,120.35,120.52,120.46,0.06,0.0498,147293.56,1780274.211
000858.SZ,2025-10-22,120.0,120.77,119.9,120.1,120.52,-0.42,-0.3485,127826.68,1536553.8
000858.SZ,2025-10-23,120.0,121.45,119.96,121.33,120.1,1.23,1.0241,155718.08,1879432.996
000858.SZ,2025-10-24,120.97,121.28,120.1,120.29,121.33,-1.04,-0.8572,174322.0,2099912.711
000858.SZ,2025-10-27,120.05,120.55,119.88,120.29,120.29,0.0,0.0,143943.37,1729967.257
000858.SZ,2025-10-28,120.29,120.69,120.01,120.1,120.29,-0.19,-0.158,140194.59,1686492.048
000858.SZ,2025-10-29,119.86,119.95,118.21,118.83,120.1,-1.27,-1.0575,245082.7,2910549.08
000858.SZ,2025-10-30,118.01,119.55,118.0,118.47,118.83,-0.36,-0.303,204329.85,2423170.734
000858.SZ,2025-10-31,115.4,119.64,115.4,118.99,118.47,0.52,0.4389,421077.02,4986642.237
000858.SZ,2025-11-03,118.5,119.6,117.5,118.98,118.99,-0.01,-0.0084,223270.34,2646147.018
000858.SZ,2025-11-04,118.78,118.99,117.01,117.16,118.98,-1.82,-1.5297,172733.63,2034069.113
000858.SZ,2025-11-05,116.35,117.0,116.0,116.18,117.16,-0.98,-0.8365,164630.35,1915561.293
000858.SZ,2025-11-06,116.51,117.3,116.06,116.17,116.18,-0.01,-0.0086,154673.07,1803321.902
000858.SZ,2025-11-07,116.17,116.99,115.95,116.75,116.17,0.58,0.4993,145435.57,1694831.993
000858.SZ,2025-11-10,116.75,121.58,116.54,120.8,116.75,4.05,3.469,429064.59,5132402.569
000858.SZ,2025-11-11,120.25,120.97,119.2,120.78,120.8,-0.02,-0.0166,229267.94,2754670.11
